City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-5.69,97,100,2.86,RU,1675607560
1,thompson,55.7435,-97.8558,-9.24,84,100,2.3,CA,1675607560
2,vaini,-21.2,-175.2,79.74,78,51,10.11,TO,1675607372
3,krasnovishersk,60.4078,57.082,4.71,99,97,3.29,RU,1675607561
4,atikokan,48.7555,-91.6216,3.49,93,99,4.25,CA,1675607561
5,turukhansk,65.8167,87.9833,5.09,98,98,3.78,RU,1675607561
6,bambous virieux,-20.3428,57.7575,82.65,78,40,6.91,MU,1675607562
7,college,64.8569,-147.8028,-14.85,76,40,0.0,US,1675607562
8,mount isa,-20.7333,139.5,76.77,100,75,4.61,AU,1675607563
9,vila velha,-20.3297,-40.2925,93.15,65,0,14.97,BR,1675607563
10,ushuaia,-54.8,-68.3,44.22,81,100,32.21,AR,1675607563
11,bredasdorp,-34.5322,20.0403,76.95,63,94,15.55,ZA,1675607361
12,nemuro,43.3236,145.575,22.93,77,22,9.62,JP,1675607564
13,chuy,-33.6971,-53.4616,77.02,56,15,11.72,UY,1675607565
14,marsh harbour,26.5412,-77.0636,74.46,75,84,24.02,BS,1675607565
15,tilichiki,60.4667,166.1,-21.8,94,9,8.57,RU,1675607566
16,constitucion,-35.3333,-72.4167,69.4,70,49,6.85,CL,1675607566
17,pacific grove,36.6177,-121.9166,52.52,93,75,6.91,US,1675607566
18,tuktoyaktuk,69.4541,-133.0374,-47.2,66,0,3.44,CA,1675607567
19,yerbogachen,61.2767,108.0108,-16.11,100,99,1.97,RU,1675607567
20,cape town,-33.9258,18.4232,79.12,69,40,23.02,ZA,1675607540
21,luderitz,-26.6481,15.1594,72.09,65,3,30.24,NA,1675607568
22,santa fe do sul,-20.2111,-50.9258,81.05,70,99,6.4,BR,1675607569
23,qaanaaq,77.484,-69.3632,-3.48,67,0,8.7,GL,1675607569
24,ornskoldsvik,63.2909,18.7153,29.35,86,69,14.97,SE,1675607570
25,victoria,22.2855,114.1577,66.94,89,75,1.99,HK,1675607493
